,Address,Longitude,Latitude,Rent,URL,Type
34,"2697 Troost Ave, Kansas City, MO 64108",-94.57085642857143,39.07787612244898,"$1,247 - 1,655",https://www.apartments.com/gallerie-and-gallerie-at-icon-kansas-city-mo/0lfv0k2/,apartment
35,"701 Broadway Blvd, Kansas City, MO 64105",-94.58776495000001,39.105495000000005,"$1,176 - 2,018",https://www.apartments.com/the-landing-at-tiffany-springs-kansas-city-mo/ndl91xq/,apartment
36,"9821 Wornall Rd, Kansas City, MO 64114",-94.59608193877551,38.949757204081635,"$950 - 1,069",https://www.apartments.com/44-washington-kansas-city-mo/k3gjntc/,apartment
37,"2501 Beacon Hill, Kansas City, MO 64108",-94.58281792928807,39.29910675,"$1,231 - 1,596",https://www.apartments.com/arte-kc-kansas-city-mo/cm681nd/,apartment
38,"2700 Gillham Rd, Kansas City, MO 64108",-94.578619,39.077879,"$1,287 - 2,330",https://www.apartments.com/the-retreat-at-tiffany-woods-kansas-city-mo/e7zj8fm/,apartment
39,"911 Main St, Kansas City, MO 64105",-94.58266676322967,39.103097649999995,"$1,213 - 1,590",https://www.apartments.com/fountainhead-kansas-city-mo/9sjtgx7/,apartment
40,"300-306 E 12th St, Kansas City, MO 64106",-94.5734141,39.0996102,"$1,225 - 1,665",https://www.apartments.com/the-denton-kansas-city-mo/97grtq5/,apartment
41,"601 Avenida Cesar E Chavez, Kansas City, MO 64108",-94.5919836,39.0856277,"$1,219 - 1,563",https://www.apartments.com/argyle-on-12th-kansas-city-mo/gv1syxw/,apartment
42,"1918 Locust St, Kansas City, MO 64108",-94.57798555102042,39.089932469387755,"$1,600 - 4,254",https://www.apartments.com/crossroads-westside-kansas-city-mo/8bwwfv3/,apartment
43,"1125 Grand Blvd, Kansas City, MO 64106",-94.58045342340469,39.100027850000004,"$1,339 - 2,914",https://www.apartments.com/the-life-at-legacy-fountains-kansas-city-mo/1e3rnh4/,apartment
44,"1207 E Armour Blvd, Kansas City, MO 64109",-94.57006663953945,39.06289565,"$1,145",https://www.apartments.com/union-hill-on-main-kansas-city-mo/k6f2g7b/,apartment
45,"3457 Holmes St, Kansas City, MO 64109",-94.57611662421337,39.06376895,$995,https://www.apartments.com/the-armour-kansas-city-mo/dp2zr5j/,apartment
46,"1989 Main St, Kansas City, MO 64108",-94.5827628,39.0894558,"$1,480 - 1,900",https://www.apartments.com/the-oxbow-kansas-city-mo/f015yqs/,apartment
47,"215 E 18th St, Kansas City, MO 64108",-94.58105957142858,39.09161700000001,"$1,295 - 3,500",https://www.apartments.com/parc-at-creekside-kansas-city-mo/qvkxvry/,apartment
48,"7841 N Anita Ave, Kansas City, MO 64151",-94.63281967346938,39.23662124489796,"$890 - 1,928",https://www.apartments.com/vintage-at-zona-rosa-kansas-city-mo/wb2cleh/,apartment
49,"701 E Armour Blvd, Kansas City, MO 64109",-94.57616620345514,39.063107900000006,"$850 - 1,125",https://www.apartments.com/stonegate-kansas-city-mo/qq33nkz/,apartment
50,"7301 NW Donovan Dr, Kansas City, MO 64153",-94.6660217,39.2594815,"$850 - 1,010",https://www.apartments.com/woodstone-at-metro-north-crossing-kansas-city-mo/cp40rpg/,apartment
